Id,SentimientoGeneral,AspectosPositivos,AspectosNegativos,Dificultad,TemasMencionados,Recomendado
0,Positivo,"['Urban spaces', 'Alleyways', 'Detalles y slices de vida en cada esquina de la ciudad', 'La ciudad es el mayor logro de la humanidad', 'La libertad de explorar la ciudad', 'La presencia de detalles y vida en las ciudades del juego']",['No especificado'],No mencionado,"['Ciudades virtuales', 'Diseño de ciudades', 'Humanidad', 'Condición humana', 'Libertad de exploración']",Recomendado
1,Negativo,"['La calidad de contenido', 'El apoyo continuo a la comunidad', 'Las actualizaciones y parches gratuitos']","['La decepción en comparación con los estándares de CDPR', 'La falta de innovación en el género']",No mencionado,"['CDPR', 'La comunidad de jugadores', 'La calidad de contenido', 'La innovación en el género']",No recomendado
2,Negativo,"['La calidad de contenido', 'El apoyo continuo a la comunidad', 'Las actualizaciones y parches gratuitos']","['La decepción en comparación con los estándares de CDPR', 'La falta de innovación en el género']",No mencionado,"['CDPR', 'La comunidad de jugadores', 'La calidad de contenido', 'La innovación en el género']",No
3,Negativo,"['herencia de Dark Souls 3', 'combate similar a Dark Souls 3', 'controles responsivos', 'animaciones de alta calidad', 'diversidad de armas y habilidades enemigas', 'magia más diversa que nunca', 'historia de estilo de From', 'paisajes geográficamente impresionantes', 'biomas estéticamente y mecánicamente diversos', 'sistema de tiempo de día y clima que agrega cambios sutiles en el juego']","['decisiones de diseño no pensadas a fondo', ""refusión de cuestionar los ideales del marco establecido con Demon's Souls"", 'experiencia desagradable', 'no recomendado']",Equilibrado,"['Dark Souls 3', ""Demon's Souls"", 'From', 'historia', 'combate', 'controles', 'animaciones', 'armas y habilidades', 'magia', 'paisajes', 'biomas', 'sistema de tiempo de día y clima']",No recomendado
4,Negativo,"['interesante historia', 'mundo creado por CDPR']","['desilusión con las rutas de vida', 'falta de profundidad en las rutas de vida']",No mencionado,"['historia', 'lore', 'CDPR', 'Cyberpunk 2077', 'Witcher 3']",Recomendado
5,Negativo,['No especificado'],"['Cortes en la versión final del juego', 'NPCs no tienen rutinas ni diálogos variados', 'NPCs desaparecen cuando están fuera de la vista', 'NPCs no entienden ni defienden a los jugadores', 'Falta de implementación de características anunciadas']",No mencionado,"['Desarrollo de juegos', 'Cortes en la versión final', 'NPCs', 'Diseño de juegos', 'Ley de la industria']",No recomendado
6,Positivo,"['combate fenomenal', 'mundo hermoso', 'rica historia', 'sistema de estilos de lucha', 'opciones para explorar diferentes estilos', 'tecnología de combate profundo']","['problemas de rendimiento', 'pérdida de frames en las zonas de carga']",Difícil,"['combate', 'mundo', 'historia', 'dificultad', 'opciones de juego']",Recomendado
7,Positivo,"['combate fenomenal', 'mundo hermoso', 'rica historia', 'sistema de estilos de lucha', 'opciones para explorar diferentes estilos', 'tecnología de combate profundo']","['problemas de rendimiento', 'pérdida de frames en las zonas de carga']",Difícil,"['combate', 'mundo', 'historia', 'dificultad', 'opciones de juego']",Recomendado
8,Positivo,"['breathtaking', 'atmosférico', 'varios distritos', 'ciudad cyberpunk', 'alta tecnología', 'vida baja', 'variedad de personajes']",['No especificado'],No mencionado,"['ciudad cyberpunk', 'alta tecnología', 'vida baja', 'variedad de personajes']",Recomendado
9,Positivo,"['Juego divertido', 'Mejoras significativas después de la lanzamiento', 'Similaridad con juegos de Bethesda']","['Bugs en la versión de lanzamiento', 'Limitaciones en el rolplaying', 'Diferencia entre marketing y realidad']",No mencionado,"['Cyberpunk 2077', 'CD Projekt Red', 'Juegos de rol', 'Open world', 'Bethesda']",Recomendado
10,Negativo,"['La conducción es buena', 'Conducir en motocicleta es divertido']","['Crashes y estancos en la carretera', 'Conducción de otros vehículos es problemática', 'No hay personalización de vehículos', 'Sistema de compra de vehículos es defectuoso', 'Stealth es muy malo']",No mencionado,"['Conducción', 'Stealth', 'Personalización de vehículos']",No recomendado
11,Positivo,"['Gráficos excelentes', 'Diseño del mundo muy detallado', 'Personajes modelo y animación muy bien hechos', 'Historia y narrativa muy buena', 'Diálogos inmersivos', 'Modo de fotografía muy adictivo']","['Bugs y glitches', 'Problemas de rendimiento']",Equilibrado,"['Juego de acción en mundo abierto', 'Diseño de personajes', 'Historia y narrativa', 'Gráficos', 'Rendimiento']",Recomendado
12,Negativo,"['jump button', 'musica', 'horse combat', 'fun', 'addictive', 'consshockingly laggy movement', 'new sneaking around can be fun']","['shockingly laggy movement', 'jank movement', 'world seems very empty', 'stamina consumption feels random', 'graphics are often ugly and washed out', 'ditches many of the better systems from previous games', 'walked back some of the better ideas from the network tests', 'crashed again', 'big mostly empty open world with dodgy traversal mechanics', 'enemies tend to be in line of site of one another', 'backstab is slow enough to leave you open', 'cant really build character around stealth', 'game is done favors comparing it to assassins creed as its often very ugly game assets pop in creatures disappear and all the colors feel very washed out']",Demasiado Difícil,"['Ubisoft', 'Dark Souls', 'Assassins Creed', 'Stealth', 'Character Creation', 'Gameplay']",No recomendado
13,Positivo,"['soundtrack brillante', 'exploración agradable', 'mundos grandes y ambiciosos', 'diseño ético innovador', 'participación del jugador', 'topografía impresionante']",['No especificado'],Equilibrado,"['soundtrack', 'exploración', 'diseño de mundos', 'participación del jugador', 'topografía']",Recomendado
14,Negativo,['No especificado'],"['problemas de rendimiento', 'características no implementadas', 'falta de sistema de IA', 'falta de personalización de personajes', 'falta de replayabilidad', 'falta de diferentes resultados dependiendo del fondo del personaje']",No mencionado,"['Cyberpunk 2077', 'Witcher', 'CD Projekt Red', 'Desarrollo de juegos', 'Problemas de lanzamiento', 'Bugs', 'Rendimiento', 'Gráficos', 'Historia', 'Sidequests', 'Interacciones con NPCs']",No recomendado
