sentimiento_general,limpieza,ubicacion,calidad_precio,aspectos_positivos,aspectos_negativos,resumen,comentario_original
negativo,neutro,neutro,negativo,"['espacio hermoso', 'bien equipado', 'lavadora/secadora funcionando']","['falta de mantenimiento', 'no se proporciona jabón para la ducha o champú', 'no se proporciona jabón para la lavadora', 'mala gestión de la empresa', 'proceso de check-in inconveniente']","Un alojamiento con gran potencial, pero arruinado por la mala gestión de la empresa y la falta de mantenimiento y servicios básicos.","This WOULD have been a 5 star review BUT:<br/><br/>I don't typically leave negative or critical reviews but given the potential for this space to be incredible, I wanted to provide some feedback... the space is actually beautiful and well-equipped (with a working washer/dryer).  It would be very easy to make this space 5 stars and an ideal stay in Porto except for the following issues that the MANAGEMENT company is responsible for (they should just charge a couple extra euros and fix/provide the following):<br/><br/>1. General maintenance/awareness of the space (the toilet seat cover was completely falling off, the soap dispenser for the sink was broken, a shower towel was torn, a chair in the dining area was broken and unusable).<br/>2. No shower soap or shampoo/conditioner is provided (if this wasn't such a nice place, maybe I wouldn't expect this ) - however, it is a very nice place and it's not cheap by Porto standards... this cheapens the experience at what would otherwise be a top notch/5 star place)<br/>3. While a washer and dryer are advertised and available in-unit, the company chooses not to provide laundry soap for guests - rendering them useless unless you spend the time and money to find/buy soap to take back for likely one wash?  Again, this just feels tacky and like cheap management... providing soap would hardly cost anything extra and guests would gladly pay an extra 1-2 euros I suspect).<br/>4. When I reported the broken items in the Airbnb app as required by Airbnb, the company replied telling me to report the problems ""to the team in Porto"" and forwarded a number. Again, lazy management - what they should have done was forward the issues to their team as they just as easily could have.  Also, as a protection to guests (and hosts), communications should be encourage to be in-app, not off the app.<br/>Lastly and perhaps the worst example the company doing what's easy for them as opposed to providing a convenient experience for guest: you have to go to a completely different place in town to get your apartment key BEFORE then going to your apartment to check-in.  Yes, that's right - you get in from your long flight and instead of going straight to the apartment in one Uber, you have to take two different Ubers (or walk with all your bags if you the apartment is close enough and have the energy), plus this adds 30 minutes minimum to your check-in process.  Ironically, if you get in ""after hours"" (around 5-6pm?), they will ensure you can check-in directly at your apartment but it will cost a fee of 20-30 euros or something.  Seriously guys?<br/><br/>These are things that are easy and inexpensive to fix or provide that would make the stay 5 stars, but instead the company is pinching pennies and guests are inconvenienced as a result. <br/><br/>I would encourage the private owner to immediately get a new management company (if you happen to be reading this) because this a beautiful space with so much potential."
positivo,buena,buena,buena,"['Buena ubicación', 'Apartamento recién reformado', 'Fábio es un buen anfitrión', 'Equipo de cocina completo', 'Wi-Fi y TV funcionan bien', 'Buena relación calidad-precio']","['Bañera pequeña', 'Colchón duro', 'Presión del agua no es equivalente a una ducha de potencia']","Apartamento limpio y bien ubicado, con un anfitrión atento y equipo completo. Ideal para explorar Porto y Gaia.","Two of us stayed in the apartment for a week in mid May 2015.
<br/>
<br/>Fábio greeted us at the door to the apartment building.  There is a lift in the building which helped us to move our luggage up to the 2nd floor.  Although it was only a short climb up two flights of stairs to the apartment.  Fábio introduced us to the apartment and Porto.  He took the time to answer all our questions and gave us a Carafe of Port, some bottles of water, coffee, and some useful kitchen cupboard ingredients.  He also provided all the cleaning and extra bathroom products we needed during our stay.
<br/>
<br/>The whole building has been recently refurbished to a high standard and the apartment looked as good as it does in the photos.  Although the bathroom is small its okay for 1 person to use at a time.  The combination boiler provided sufficient hot water for a shower, although the pressure was not equivalent to a power shower.  
<br/>
<br/>The bedroom is at the back of the apartment and quiet at night.  If you are tall your feet will dangle over the end of the double bed, and we found the hard mattress took a little getting used to.  For reference we have a memory foam mattress at home.
<br/>
<br/>The kitchen while small is well equipped.  We used the toaster, kettle, oven and ceramic hob during our stay and everything worked well.  
<br/>
<br/>The apartment faces north west so the sun only shone into the apartment at the end of the day.  This meant that during our stay the apartment did not get too hot.  The air conditioning worked well to heat the apartment on the few cool nights during our stay.  The Wi-Fi worked well in the lounge as did the small TV.
<br/>
<br/>The apartment is well located about 5 minutes walk up a typically steep hill from Sao Bento metro station.  The old town and the main shopping street in Porto are both within walking distance of the apartment.  There are plenty of choices of places to eat and drink in the neighbourhood, including a few supermarket chains.  If you’re planning to go to Serralves you can catch bus 207 nearby from the bus stop in front of the National Theatre (bus stop code BTLH1).
<br/>
<br/>Fábio is a good host and exceeded our expectations in what he provided in the apartment.  The apartment has been recently refurbished to a high standard and its in a good location for exploring the many hills of Porto and Gaia.
<br/>"
positivo,neutro,positivo,positivo,"['Ubicación excelente', 'Anfitrión amable y ayudante', 'Café debajo del edificio con comida portuguesa casera', 'Rooftop agradable', 'Espacio en el piso de arriba', 'Ducha buena']","['Cortina de la ducha no funciona bien', 'Falta de utensilios y suministros en la cocina', 'Colchón del sofá cama incómodo', 'Mantenimiento necesario en algunos detalles']","Alojamiento con excelente ubicación y anfitrión amable, pero con algunos detalles que requieren mejora.","The location of the flat is great, few minutes walk to the metro station that takes you everywhere in Porto. Pedro kindly offered us an earlier check in since our flight arrived in the morning. He showed us how to get around and places to go and we've been to all of them! Thank you Pedro! <br/>There is a cafe below the building (Cafe Sweet) which is very nice and very cheap! We had our breakfasts there and lunch and the owner went an extra mile to cater for three people with different allergies/food intolerance. I strongly recommend having a meal there, it's simple homemade typical Portuguese food!! <br/>There were a few let downs regarding the flat but they can be quickly fixed: the shower curtain kept collapsing to the point we gave up trying to fit back; without the curtain the bathroom was flooded but  I guess you can live with that for a short stay (good shower though!).  The kitchen is great but there was absolutely nothing to use for cooking as in a bit of sugar/salt/cooking oil/coffee or anything like that. I am just mentioning this because we mainly chose AirBnB to cook at least 1 meal (breakfast or dinner) due to food allergies and at the other places we've stayed there was always a kitchen with basic supplies to cook or a bit of coffee/sugar/tea, etc. If you are like us bear in mind you will need to buy everything which wouldn't be a problem if our stay wasn't so short! <br/>I think the main problem was the sofa bed mattress - there's barely any padding and it is extremely uncomfortable. We are not fussy about mattresses when we travel but  I have neck issues and that mattress was a killer. My partner has no issues at all with back pain/neck but after 2 nights in the mattress he was in quite a lot of a back pain. It was quite surprising to see him complaining about a mattress! I hope they change the mattress soon for a more pleasant stay.  There few bits and bots that need maintenance but nothing major, more about the cosmetic side of the flat. <br/>Having said that, the flat is really nice, lots of space upstairs and there's a nice rooftop where you can have a drink or have your breakfast ;) <br/>Thanks for your help Pedro and I hope Joao works on improving this lovely place!"
positivo,no mencionada,excelente,buena,"['vistas impresionantes del río Duero', 'buena ubicación', 'acceso fácil a lugares para comer', 'anfitriona amable y atenta', 'buena comunicación']","['baño reducido y accesible solo desde el balcón', 'ruido del tráfico en las habitaciones por la noche']","Apartamento con vistas impresionantes y excelente ubicación, aunque con algunos detalles a mejorar.","Amazing views of the Douro River with Porto on the near side and Gaia on the far side. Even though we didn't spend all that much time at the apartment, whenever we were there we were usually checking out the views, the pigeons and sea gulls, or the group of cats on the rooftops and patios below. The apartment is well located and easy access to all of the many sights Porto and Gaia have to offer. Mind you, 'easy' is relative here given all the many hills and stairs in Porto. We did not need to use any metro or bus during our stay but we did take a train from Sao Bento to visit Braga and we took a guided tour of the Douro Valley. The location is also good for finding places to eat, I feel like we could have stayed a month and still not tried all the many restaurants in the area.<br/><br/>Maggie was a great host and met us at the apartment. Even thought the apartment wasn't quite ready, she provided a place for us to drop off our luggage and gave us a quick tour of the apartment. She also provided a great overview of the city and marked up a tourist map with much of what we needed to know to get us started. We didn't have any issues during our stay but she checked in on us to see how we were doing.<br/><br/>We had a great time in Porto and enjoyed our stay at the apartment.  Just two things to note for future guests.  First is the half bath. I believe this was already mentioned but adding again here. It is just a toilet and sink and you literally have to go out on the balcony to access it. It was great when returning from a day of sightseeing and everyone needed to use the bathroom, but that was about it. Second thing was the amount of traffic noise in the bedrooms at night. Both bedrooms are on the street side of the apartment. I was surprised how much traffic this tiny street received and how late we could hear cars driving by. The cobblestone street changed the tire noise such that the first night I wasn't sure what I was hearing but was able to ignore it on subsequent nights."
negativo,mala,mala,mala,[],"['ubicación poco segura', 'problemas con la llave del quarto', 'falta de limpieza', 'diferencias con las fotos publicadas', 'problemas con el agua caliente', 'mala atención del anfitrión']","No recomendado debido a problemas con la ubicación, limpieza, atención del anfitrión y calidad de las instalaciones.","Não recomendo! De todo! <br/>Este Airbnb é no “”“centro””” do Porto. Encontra-de de facto a 10 minutos da estação Campo 24 de Agosto mas acaba por ser num sítio que inspira pouca confiança. <br/>Ao chegarmos ao Airbnb, a chave do nosso quarto não se encontrava na caixa de segurança, apenas a de outro, que acabamos por usar para entrar. Contactámos o anfitrião que nos informou para irmos ter à recepção para esta questão ser resolvida com a pessoa de serviço e que poderíamos sempre ligar caso tivéssemos outro problema ou qualquer tipo de questão. Esta senhora além de inicialmente rude, fingiu que não sabia do que estávamos a falar e depois lá não informou que o quarto ainda estava a ser limpo….. depois da hora do check-in que constava na reserva. <br/>Enquanto aguardamos na recepção que o quarto estivesse pronto, a senhora de serviço mencionou diversas vezes a uns senhores de, pelo que percebemos uma empresa de alarmes de segurança, os diversos assaltos que tinham acontecido na zona. Como tal, a primeira impressão que tivemos da zona confirmou-se.<br/>Chegamos finalmente ao quarto e este não corresponde sequer às fotografias. Optamos por ignorar este factor visto que não tínhamos outro sítio onde ficar. <br/>Ao tomar banho, o poliban estava de tal forma mal vedado que ficamos com a casa de banho e quarto encharcados. Além disto, no final do banho a água começou a ficar fria.<br/>No dia seguinte confirma-se que não há água quente. Liguei ao anfitrião para tentar tratar desta situação e o mesmo, depois de se ter logo à partida disponibilizado, desligou a chamada e pediu que enviasse mensagem. Fi-lo e a mensagem nunca foi respondida. Liguei novamente e nunca fui atendida. Entretanto já ninguém se encontrava na recepção e não havia maneira de tratar desta questão. <br/>Há muitos sítios muito melhores e muito mais em conta pela qualidade do que este. Não gastem dinheiro, tempo e bem-estar neste Airbnb."
neutro,buena,excelente,aceptable,"['delicioso vino de bienvenida', 'cama confortable', 'espacio en el cuarto para guardar pertences', 'comunicación excelente', 'limpieza y cambio de ropa de cama y baño', 'localización excelente']","['banheira desactivada', 'falta de iluminación y ventilación', 'iluminación artificial insuficiente', 'acústica deficiente', 'ruido de pasos y portazos', 'falta de área de servicio']","Alojamiento bonito y bien ubicado, pero con algunas deficiencias en iluminación, ventilación y acústica. Recomendado para estadias cortas.","Fomos surpreendidos por um delicioso vinho do porto que o Nuno e a Maria deixaram no apartamento! É um apartamento bem bonito, possui uma cama muitíssimo confortável, e tem espaço de sobra no quarto para guardar todos os pertences. O espaço do banheiro também é ótimo, mas a banheira anunciada está desativada. A cozinha é compacta, mas o suficiente pra se virar por lá também. A comunicação é excelente, e pra quem fica por mais de 1 semana, tem também uma senhora muito amável que faz uma breve limpeza do local e troca as roupas de banho e cama, se for necessário. <br/>A falta de iluminação e de ventilação no apartamento nos incomodou bastante, a única iluminação/ventilação vem do quarto (a qual não pudemos utilizar pois estava tendo uma obra barulhenta ao lado), o restante do apartamento é escuro, não possui janelas e a iluminação artificial não ilumina o suficiente o local. Isso pode incomodar bastante se você for passar muito tempo por lá, como eu e meu esposo que passamos 1 mês, pois dá a sensação que você está sempre na escuridão, não vê a luz do dia e o cair da noite chegar. <br/>Outra desvantagem foi a acústica do local, quando tem gente no andar de cima você escuta passos pela casa, e quando fecham as portas a porta principal do apartamento estremece muito e dá uma baita susto, sem contar que irrita um pouco depois de muito ouvir as portas batendo.<br/>Quanto à localização, nós achamos ótima, você desce a rua e está nas margens do rio Douro, local excelente para apreciar o por do sol. Com 5 minutos de caminhada você também chega ao supermercado próximo, e com 15-20 minutos você chega ao centro da cidade. <br/>Nós recomendamos o apartamento pra estadias curtas, mas para longas estadias faz falta ter uma área de serviço, como numa casa completa, para poder limpar os sapatos e passar um pano no chão, por exemplo."
neutro,negativa,no mencionada,aceptable,"['buena comunicación con el anfitrión', 'cocina bien equipada', 'potencial del alojamiento']","['ducha con problemas de desagüe', 'falta de calefacción', 'falta de jabón y esponjas para lavar los platos', 'no hay cubos de basura o instrucciones para eliminar residuos', 'lamparás sin bombillas', 'escaleras peligrosas para los niños']","Alojamiento con potencial, pero con varios problemas que deben ser abordados por el anfitrión.","The apartment was alright for its price range. It worked well enough for the two of us, however there are a few points I feel the need to mention: <br/><br/>1. The shower is designed in such way that it overflows within a few minutes (maybe to limit water usage). We had to use our towels to keep it contained, therefore we didn't have any towels left to dry ourselves with. This is something the host should really look into, maybe the drains can be unclogged if they are. <br/><br/>2. No heating. We spend two days and nights there in November and it was freezing cold. The blankets in the living room suit to look nice but do very little unfortunately. <br/><br/>3. The kitchen was well equipped with what one would need to cook, even a sandwich maker, but to our dismay, we searched without success for dishwashing liquid and sponges. We could only rinse our dishes but not adequately clean them. <br/><br/>4. No rubbish bin/ or instructions in how to get rid of waste, unless we missed them somehow. In that case, it's our own fault. <br/><br/>5. Upon arrival, we found a negative review left by previous renters on the table. We were surprised to find it since the apartment must have surely been cleaned between guests. <br/><br/>6. The stairs could pose a risk to children but it didn't inconvenience us. <br/><br/>7. The lamp in the pictures don't have lightbulbs in them, possibly to cut back on electricity costs which only leaves you with a sterile, very bright roof light. Understandable to save costs, however items that cannot be used shouldn't bee in the photographs. <br/><br/>8. The communication was good and the hosts tried to help us find a parking spot for our camper.<br/><br/>I think that is all that was worth mentioning from our side. Thank you for having us. The Airbnb has great potential."
positivo,no mencionada,regular,buena,"['apartamento bien distribuido', 'incluye parking', 'muy cómodo si se tiene coche', 'buena relación calidad-precio', 'comunicación con la empresa buena']","['debe recoger las llaves en el centro de Porto', 'no se menciona la recogida de llaves en el anuncio', 'la zona puede ser peligrosa de noche']","Apartamento cómodo y bien equipado, aunque la recogida de llaves es inconveniente. La zona es tranquila pero puede ser peligrosa de noche.","Apartamento bien distribuido y bien surtido. Muy cómodo si te mueves con coche y además incluye parking. El handicap es el hecho de tener que ir a buscar las llaves al centro de Porto algo que podría resolverse con un locker con código. Deberían escribirlo en el anuncio y no comunicarlo una vez haces la reserva.<br/>El barrio es muy peculiar ya que da la sensación de que es una zona en el que se mezclan ricos y pobres. Es interesante porque confluyen varios barrios algunos de clase alta o en auge como Lordelo do Ouro que parece que se ha revalorizado en la zona de costa y esa oleada parece estar llegando a la zona interior donde está el apartamento. El gobierno parece estar promoviendo esa gentrificación y quizás el apartamento es resultado de esa política. Por ejemplo, la casa está cerca de dos grandes supermercados (Mercadona y Lidl) que son de reciente creación (2021) como fruto de una política para frenar la venta y consumo de drogas en la zona (eran antiguas fábricas ocupadas por drogadictos). Aunque hay policía armada custodiando los supermercados es mejor ir durante el día ya que la salida (en coche) de los supermercados te obliga a cruzar un barrio de consumo y venta de drogas (Aleixo) que no he visto en mi vida. La gente parece muy habituada a ver y tratar con yonkis quizás por la política de considerarlos personas que requieren tratamiento médico y no criminales. <br/>En todo caso, la zona del apartamento es muy tranquila y parece muy segura. Es interesante ver también esa parte de la historia más reciente de Porto. Creo que es un sitio que vale la pena por lo que ofrece a nivel de calidad/precio siempre que vayas en coche. La comunicación con la empresa es muy buena y el único handicap es el tema recogida de llaves que deberían incluirlo en la descripción del anuncio"
positivo,buena,excelente,buena,"['Ubicación cerca de la estación de metro', 'Maison de maître con decoración superb', 'Apartamento con todo lo necesario', 'Balcon con vistas agradables', 'Supermercado y tiendas cercanas', 'Calidad-precio excelente']","['Ruido del autobús en la calle', 'Falta de bols para el desayuno']","Un apartamento excelente en una ubicación inmejorable, con todo lo necesario para una estancia cómoda y agradable.","On visitait Porto pour la première fois avec ma petite amie et nous avons réservé cet appartement pour 4 jours. Un point très positif est que vous avez la station de métro Marquês au niveau de la jolie petite place qui se trouve juste devant la maison, de là , vous pouvez accéder à toute la ville en un rien de temps. La maison où se trouve l'appartement est une maison de maître , superbement décorée , à l'extérieur comme à l'intérieur. L'appartement en lui même se trouve au dernier étage de la maison ; il est fidèle,à l'identique,aux photos affichées , superbe petit appartement avec tout ce qu'il faut : wifi , 2 télévisions , machine à laver , fer à repasser , lave-vaisselle, sèche cheveux, air conditionné dans le salon et dans la chambre (le rêve) , la salle de bain est petite mais ma foi fonctionnelle , la cuisine comporte tout ce qu'il faut , le salon est cosy , le lit est super confortable , tout le mobilier est de qualité. On prenait le petit-déjeuner sur le balcon qui donne l'air de se trouver perché dans les arbres, super agréable. Il y a un supermarché ""Pingo Doce"" à même pas 500m, et le quartier comporte pharmacie , boulangerie , quelques magasins de vêtements... Si je devais trouver quelques chose à redire je dirais : L'arrêt de bus en bas de l'appartement où les bus stationnent parfois de longues minutes en faisant un peu de bruit, mais vous ne l'entendez absolument pas si les fenêtres sont fermées (quasi tout le temps le cas puisqu'on mettait l'air co), ah oui et aussi on a manqué de bols pour le petit-déjeuner , mais on s'est débrouillé avec des tupperwares ;-) . En bref : 4 jours de rêve , le tout pour un très bon rapport qualité-prix (hors haute saison, nous sommes partis mi-juin) et je recommanderai sincèrement l'adresse à toutes mes connaissances !"
positivo,buena,excelente,buena,"['apartamento limpio y bien decorado', 'ubicación céntrica', 'acceso a tiendas y metro', 'equipamiento adecuado para preparar comidas', 'Wi-fi y aire acondicionado buenos', 'camas cómodas y almohadas suaves', 'comunicación excelente con el anfitrión']","['falta de privacidad en los baños', 'diseño de los baños con paredes de vidrio', 'sillas y bancos incómodos en la mesa de comedor', 'falta de estante en la ducha para shampoo y acondicionador', 'falta de espejo de cuerpo entero en el pasillo']","Apartamento céntrico y bien equipado, pero con algunos problemas de privacidad en los baños. Excelente comunicación con el anfitrión.","We very much enjoyed our stay at Rui’s apartment. It was clean, bright, newly decorated and centrally situated with nearby local shops for essentials and multi-hub metro station (Trinidade) only a few minutes away.  It was adequately equipped for preparing light meals, and we had a dishwasher and washing machine. Wi-fi was good throughout the apartment and the air-conditioning excellent.<br/><br/>The bedrooms were not large as each had its own well equipped en-suite bathroom with constant hot water and high pressure showers. However, some members of our party of six felt that the design, with clear glass walls between the bedroom and the showers, resulted in an inappropriate lack of privacy. A curtain or blind would be a great improvement. The beds were very comfortable, the pillows delightfully soft and the location of the building in a quiet area so our slumbers were not disturbed.<br/> <br/>Communication with Rui and his team was excellent. They arranged our transfers from the airport and at my request did a supermarket shop for us so we had supplies when we arrived.  The dining table had only stools and benches to sit on which were uncomfortable and gave it the feel of a school refectory so I asked for proper chairs which were delivered on the day after our arrival. They also arranged a late checkout for us as which was much appreciated as we had an evening flight home.<br/><br/>A small shelf in the shower for shampoo and conditioner would have been useful and the ladies in our party would have liked a full-length mirror in the hall but these were only minor irritations.<br/><br/>Porto itself is lovely and we hope to return with some more friends next year. We would definitely stay here again if the privacy issue in the bathroom could be resolved."
